Date/Time,T [outside],T [comb 1/2],T [comb 4/5],T [comb 5/6],Humidity
2018/11/06 18:07:00,15.0,33.0,27.5,23.6,77.8
2018/11/06 18:12:00,15.0,33.0,27.5,25.8,65.5
2018/11/06 18:17:00,15.0,34.0,28.7,25.7,63.6
2018/11/06 18:22:00,14.8,34.2,28.0,25.8,65.3
2018/11/06 18:27:00,14.8,34.2,28.7,25.9,64.6
2018/11/06 18:32:00,14.5,34.0,29.0,25.9,63.5
2018/11/06 18:37:00,14.0,34.2,28.0,25.9,64.1
2018/11/06 18:42:00,14.0,34.2,28.0,25.9,63.1
2018/11/06 18:47:00,13.8,34.2,28.0,25.9,63.2
2018/11/06 18:52:00,13.5,34.2,28.0,26.0,63.0
2018/11/06 18:57:00,13.3,34.2,28.7,25.8,60.8
2018/11/06 19:02:00,13.3,34.2,28.7,25.8,60.6
2018/11/06 19:07:00,13.0,34.0,28.5,25.8,61.5
2018/11/06 19:12:00,12.8,34.0,28.2,25.8,62.9
2018/11/06 19:17:00,12.8,34.2,28.2,25.8,59.4
2018/11/06 19:22:00,12.8,34.2,28.2,25.9,58.6
2018/11/06 19:27:00,12.5,34.2,28.2,25.9,60.2
2018/11/06 19:32:00,12.5,34.2,28.2,25.9,58.1
2018/11/06 19:37:00,12.5,34.0,28.2,25.9,58.4
2018/11/06 19:42:00,12.5,34.2,28.2,25.9,58.8
2018/11/06 19:47:00,12.5,34.2,28.2,25.9,57.8
2018/11/06 19:52:00,12.5,34.2,28.2,25.9,59.4
2018/11/06 20:07:00,12.8,34.5,28.2,25.9,55.8
2018/11/06 20:12:00,12.5,34.5,28.2,25.9,56.2
2018/11/06 20:17:00,12.5,34.5,28.2,25.9,58.3
2018/11/06 20:22:00,12.5,34.7,28.2,25.9,57.3
2018/11/06 20:27:00,12.5,34.7,28.2,25.8,57.7
2018/11/06 20:32:00,12.5,34.5,29.0,25.8,57.2
2018/11/06 20:37:00,12.3,34.2,28.7,25.8,58.4
2018/11/06 20:42:00,12.3,34.5,28.5,25.7,58.1
2018/11/06 20:47:00,12.3,34.5,28.2,25.7,58.8
2018/11/06 20:52:00,12.3,34.5,28.7,25.7,57.7
2018/11/06 20:57:00,12.0,34.7,28.5,25.7,57.5
2018/11/06 21:02:00,12.0,34.5,28.2,25.8,56.8
2018/11/06 21:07:00,11.8,34.2,28.2,25.8,58.1
2018/11/06 21:12:00,11.8,34.5,28.2,25.7,54.9
2018/11/06 21:17:00,11.8,34.5,28.2,25.7,56.4
2018/11/06 21:22:00,11.5,34.2,28.2,25.7,56.1
2018/11/06 21:27:00,11.5,34.5,28.2,25.7,57.2
2018/11/06 21:32:00,11.3,34.5,28.2,25.8,55.1
2018/11/06 21:37:00,11.3,34.7,28.2,25.8,55.5
2018/11/06 21:42:00,11.0,34.7,28.2,25.7,56.3
2018/11/06 21:47:00,11.0,34.5,28.2,25.7,56.4
2018/11/06 21:52:00,11.0,34.0,28.2,25.7,56.7
2018/11/06 22:07:00,10.8,34.0,28.2,25.7,56.1
2018/11/06 22:12:00,10.5,34.5,28.2,25.6,54.8
2018/11/06 22:17:00,10.5,34.5,28.2,25.7,54.4
2018/11/06 22:22:00,10.5,34.5,28.2,25.7,54.4
2018/11/06 22:27:00,10.5,34.5,28.2,25.7,55.9
2018/11/06 22:32:00,10.3,34.2,28.0,25.6,54.1
2018/11/06 22:37:00,10.3,34.5,28.0,25.6,54.4
2018/11/06 22:42:00,10.3,34.5,28.0,25.7,55.8
2018/11/06 22:47:00,10.3,34.5,28.0,25.6,54.0
2018/11/06 22:52:00,10.3,34.2,28.2,25.6,52.2
2018/11/06 22:57:00,10.0,34.5,28.0,25.6,54.0
2018/11/06 23:02:00,10.0,34.5,28.0,25.6,53.6
2018/11/06 23:07:00,10.0,34.2,28.0,25.6,53.8
2018/11/06 23:12:00,10.0,34.5,28.0,25.6,52.2
2018/11/06 23:17:00,10.0,34.5,28.0,25.6,53.7
2018/11/06 23:22:00,10.0,34.2,28.0,25.6,54.6
2018/11/06 23:27:00,10.0,34.5,28.0,25.5,53.7
2018/11/06 23:32:00,10.0,34.5,28.0,25.5,54.8
2018/11/06 23:37:00,10.0,34.5,27.7,25.5,52.7
2018/11/06 23:42:00,10.0,34.5,27.7,25.5,52.9
2018/11/06 23:47:00,10.0,34.5,28.0,25.5,52.5
2018/11/06 23:52:00,10.0,34.2,28.0,25.5,51.9
2018/11/07 00:07:00,10.0,34.0,27.7,25.4,52.7
2018/11/07 00:12:00,9.8,34.2,27.7,25.4,52.9 
2018/11/07 00:17:00,9.8,34.5,27.7,25.4,52.6 
2018/11/07 00:22:00,9.8,34.5,27.7,25.4,51.2 
2018/11/07 00:27:00,9.8,34.2,27.7,25.4,53.2 
2018/11/07 00:32:00,9.8,34.2,27.7,25.3,54.9 
2018/11/07 00:37:00,9.8,34.0,27.7,25.3,53.1 
2018/11/07 00:42:00,9.8,34.2,27.5,25.3,54.8 
2018/11/07 00:47:00,9.8,34.2,27.5,25.3,54.3 
2018/11/07 00:52:00,9.8,34.2,27.5,25.3,54.2 
2018/11/07 00:57:00,9.8,34.2,28.0,25.3,54.0 
2018/11/07 01:02:00,9.8,34.2,27.5,25.3,55.5 
2018/11/07 01:07:00,9.8,34.2,27.7,25.3,55.6 
2018/11/07 01:12:00,9.8,34.2,27.5,25.3,53.0 
2018/11/07 01:17:00,10.0,34.5,27.5,25.2,54.6
2018/11/07 01:22:00,10.0,34.5,27.5,25.2,53.8
2018/11/07 01:27:00,10.0,34.5,27.2,25.1,52.8
2018/11/07 01:32:00,10.0,34.5,27.5,25.1,51.8
2018/11/07 01:37:00,10.0,34.2,27.5,25.1,54.4
2018/11/07 01:42:00,10.0,34.2,27.5,25.1,53.5
2018/11/07 01:47:00,10.0,34.5,27.5,25.1,53.2
2018/11/07 01:52:00,10.0,34.5,27.2,25.1,53.5
2018/11/07 02:07:00,10.0,34.2,27.2,25.1,55.9
2018/11/07 02:12:00,9.8,34.2,27.2,25.1,53.6 
2018/11/07 02:17:00,10.0,34.2,27.2,25.0,52.8
2018/11/07 02:22:00,10.0,34.5,27.2,25.0,52.8
2018/11/07 02:27:00,10.0,34.2,27.2,25.0,53.8
2018/11/07 02:32:00,10.0,34.5,27.0,25.0,52.0
2018/11/07 02:37:00,10.0,34.5,27.2,25.0,51.0
